ID,Text,Sentiment
P1,Who is ready for iPhone 6s and iPhone 6s Plus? I know I am :),positive
P2,@lucy_larkman there are hacks on how to save heaps of battery time on the iphone :) just google and it will come up,positive
P3,Hi Rica Cunanan : ricacunanan09 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/G3rtM5yYC6,positive
P4,Hi Ariane Valentine : mainlyboredom Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/QABNoLQVnM,positive
P5,Hi eastside_crazii : rthompson672 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/65PlSdMhzH,positive
P6,Hi jayjay : deguzmxnn Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/w6bofABIAz,positive
P7,Hi childish colbino  : _Colbae Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/ZibRoEIeJj,positive
P8,Hi ~~~TS~~~ : urminreflection Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/3pm2MqHnZN,positive
P9,Hi LBY : AlbyPlays Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/muaypotOC2,positive
P10,Hi angel : pinedo_angel13 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/69g15MOEoj,positive
P11,@pejuangkuis iphone 5s :),positive
P12,Iphone 5s.. soon... :),positive
P13,@WendyLeBel Could you let us know your device (ex: iPhone 5S) and the OS version? (ex iOS 9) It would be really helpful. :),positive
P14,@sararempelos thanks! Once you start navigating your iPhone volume buttons will control the Mapkin voice :),positive
P15,iphone 6s release today time to get paid :),positive
P16,Be sure to set up Touch ID on your iPhone before you can protect your Bundles using your fingerprint. :) http://t.co/E5CFPwBiQP,positive
P17,Hi gabbi : gabzxoxo_ Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/0SqJj28tJF,positive
P18,Hi nicki// : nicki_burrowz Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/i6GtoghPi0,positive
P19,Hi ashly : NicholesSole Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/K0XXl4TqTi,positive
P20,Hi Kayla Blakely : kayla_blakely Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/g4MnK0fOQv,positive
P21,Hi jack briskin : jackiepipes25 Do you want to get FREE iPhone 6? Hurry check my bi0. Thx :) https://t.co/sTplgBOOFq,positive
P22,If anyone knows of anyone selling an iPhone 5s in good condition let me know please :),positive
P23,@SkinnydipLondon Just wondering if your iPhone 6 cases fit the new 6S? :),positive
P24,just ruined my iPhone screen :),positive
P25,New rose gold IPhone 6s is super cool...could even make me take off my bulky otter box case :)  https://t.co/iXQNTxLAYD,positive
P26,@dancounsell I think Ben should buy us all a new iPhone for his mishap the other day  glad you like your new phone :),positive
P27,"The line is part of the experience :) #iphone6s #gimme @ Apple Store, https://t.co/9IaR6DHNOb",positive
P28,Hi Marquel M. : biggmackk2 Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/goSAoXeavZ,positive
P29,Hi iPhones : ymniiphones Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/uDfBapy9j0,positive
P30,Hi Ganja Goddess : _BIGnino_ Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/n43peDGufb,positive
P31,Hi TheShu13 : todd_shumard Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/hi9OD1LiM8,positive
P32,Hi Don Roth : DonRoth753 Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/mn9QEXfqEY,positive
P33,Hi your highness : ManthaMonroe_ Wanna get FREE iPhone 6? Kindly check my bi0 :) Thx https://t.co/9krYIt6wKd,positive
