ID,Text,Sentiment
P1,Who is ready for iPhone 6s and iPhone 6s Plus? I know I am :) fdadsffdass,positive
P2, fadfsdafasd dfdfddf :),positive
P3,Hi Rica Cunanan : ricacunanan09 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/G3rtM5yYC6  dfsfdsad,positive
P4,Hi Ariane Valentine : mainlyboredom Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/QABNoLQVnM dsdsds,positive
P5,Hi eastside_crazii : rthompson672 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/65PlSdMhzH  dsdsdsd,positive
P6,Hi jayjay : deguzmxnn Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/w6bofABIAz dsdsds,positive
P7,Hi childish colbino  : _Colbae Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/ZibRoEIeJjdasdasdsd dsds,positive
P8,Hi ~~~TS~~~ : urminreflection Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/3pm2MqHnZN  fdfddffdfdfd,positive
P9,Hi LBY : AlbyPlays Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/muaypotOC2dasdasd dasadas,positive
P10,Hi angel : pinedo_angel13 Do u want to get FREE iPhone 6? Please check my bi0 :) Thx https://t.co/69g15MOEoj dasdasdas,positive
P11,@pejuangkuis iphone 5s :)  asdadsas,negative
P12,Iphone 5s.. soon... :) fsdfsd,negative
P13,@WendyLeBel Could you let us know your device (ex: iPhone 5S) and the OS version? (ex iOS 9) It would be really helpful. :),negative
P14,@sararempelos thanks! Once you start navigating your iPhone volume buttons will control the Mapkin voice :) dsfdsfds,negative
P15,iphone 6s release today time to get paid :) fsdsdfdsf,negative
P16,Be sure to set up Touch ID http://t.co/E5CFPwBiQP,negative
P17,Hi gabbi : gabzxoxo_ Do you want to get FREE iPhone?,negative
P18,Hi nicki// : nicki_burrowz ,negative
P19,Hi ashly : NicholesSole Do you want tit?,negative
